NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1091,E0336600029111,沢内小学校,岩手県西和賀町沢内字泉沢7-39-2,,,,39.454349007657,140.76680910731,
1092,E0336600032112,沢内中学校第２屋内運動場,岩手県西和賀町沢内字太田1-13,1,,,39.437195644582,140.75069822363,
1093,E0336600032111,沢内中学校,岩手県西和賀町沢内字太田1-13,1,,,39.437609948809,140.75065530829,
1094,E0336600033111,沢内農業者トレーニングセンター,岩手県西和賀町沢内字太田1-34,,,,39.436483416242,140.74993255385,
1095,E0336600035111,志賀来ドーム,岩手県西和賀町沢内字大野17-165,,,,39.395952145051,140.77048900374,
1096,E0336600041111,新田郷地区公民館（中村公民館）,岩手県西和賀町中村58-45-4,1,,,39.297125119038,140.73367103705,
1097,E0336600043111,湯川体育館,岩手県西和賀町湯川52-35-7,1,,,39.285370623799,140.77066967432,
1098,E0336600044111,湯田小学校,岩手県西和賀町湯田20-57-7,,,,39.351394584209,140.76853979216,
1099,E0336600047111,湯本地区公民館,岩手県西和賀町湯本30-3-36,,,,39.343663886473,140.77343425191,
1100,E0336600048111,湯田農業者トレーニングセンター,岩手県西和賀町湯本30-58-1,1,,,39.342470284111,140.77133925347,
1101,E0320300003111,小石浜公民館,岩手県大船渡市三陸町綾里字舘ケ森27-2,,,,39.074084716617,141.81682513308,
1102,E0320300004111,長林寺,岩手県大船渡市三陸町綾里字岩崎136,1,,,39.050908791228,141.79049254676,
1103,E0320300007111,三陸Ｂ＆Ｇ海洋センター,岩手県大船渡市三陸町綾里字黒土田56,,,,39.048597914597,141.80139163656,
1104,E0320300008111,旧綾里中学校（屋内体育館）,岩手県大船渡市三陸町綾里字黒土田99-1,1,,,39.046273524554,141.79943218022,
1105,E0320300009111,砂子浜生活改善センター,岩手県大船渡市三陸町綾里字砂子浜43,1,,,39.072636,141.840286,
1106,E0320300011111,野形郷土文化保存伝習施設（野形不動七福会館）,岩手県大船渡市三陸町綾里字坂本41-1,,,,39.055848528121,141.78765333848,
1107,E0320300016111,宮野地区多目的集会施設,岩手県大船渡市三陸町綾里字中曽根110,,,,39.05097163542,141.80057009865,
1108,E0320300017111,綾里こども園,岩手県大船渡市三陸町綾里字中曽根113-1,,,,39.051404941502,141.80035310657,
1109,E0320300018111,田浜地域防災コミュニティセンター,岩手県大船渡市三陸町綾里字田浜上69-9,,,,39.040643651935,141.80022390094,
1110,E0320300024111,綾姫ホール,岩手県大船渡市三陸町綾里字平舘75-2,,,,39.051050684589,141.79824918142,
1111,E0320300028111,越喜来小学校（屋内体育館）,岩手県大船渡市三陸町越喜来字小出24-4,1,,,39.126471808435,141.80944030103,
1112,E0320300030112,特産品生産施設,岩手県大船渡市三陸町越喜来字小出59-1,,,,39.136528713216,141.77890045772,
1113,E0320300030111,遊ｙｏｕ亭夏虫,岩手県大船渡市三陸町越喜来字小出59-1,,,,39.138317868685,141.78135199677,
1114,E0320300033111,上甫嶺研修集会施設,岩手県大船渡市三陸町越喜来字上甫嶺41-2,,,,39.100818191421,141.79025213123,
1115,E0320300035111,矢作集会所,岩手県大船渡市三陸町越喜来字西甫嶺32-3,,,,39.09009754788,141.80051481271,
1116,E0320300036111,仲区公民館,岩手県大船渡市三陸町越喜来字前田63-7,1,,,39.121016533637,141.81429646658,
1117,E0320300038111,崎浜公民館,岩手県大船渡市三陸町越喜来字仲崎浜185-7,,,,39.107005979179,141.86208892355,
1118,E0320300041111,南区公民館,岩手県大船渡市三陸町越喜来字肥の田45,1,,,39.116725844012,141.80864852967,
1119,E0320300042111,龍昌寺,岩手県大船渡市三陸町越喜来字甫嶺64,,,,39.092908346142,141.80184067956,
1120,E0320300044111,甫嶺地域防災コミュニティセンター,岩手県大船渡市三陸町越喜来字甫嶺74-1,,,,39.093175390174,141.80481498858,
1121,E0320300045111,泊区公民館,岩手県大船渡市三陸町越喜来小泊6-1,,,,39.104531194507,141.80270170999,
